school_name,address,city,county,zip_code,school_nurse,school_type,enrolled,num_immune_mmr,num_exempt_mmr,num_compliance_mmr,num_pbe,num_medical_exempt,num_pbe_exempt_all
CHANDLER TRADITIONAL ACADEMY - FREEDOM,6040 SOUTH JOSLYN LANE,GILBERT,MARICOPA,85298,NO,PUBLIC,104,95,9,104,12,0,5
CHANDLER TRADITIONAL ACADEMY - GOODMAN CAMPUS,2600 W KNOX RD,CHANDLER,MARICOPA,85224,NO,PUBLIC,77,77,0,77,4,0,0
CHANDLER TRADITIONAL ACADEMY - INDEPENDENCE,1405 W LAKE DR,CHANDLER,MARICOPA,85248,NO,PUBLIC,74,72,2,74,9,0,0
CHANDLER TRADITIONAL ACADEMY - LIBERTY CAMPUS,550 N EMMETT DR,CHANDLER,MARICOPA,85225,NO,PUBLIC,66,65,1,66,15,0,1
CHANDLER TRADITIONAL JUNIOR HIGH SCHOOL,191 W OAKLAND ST,CHANDLER,MARICOPA,85225,NO,PUBLIC,137,136,1,137,2,0,1
CHAPARRAL ELEMENTARY SCHOOL,3808 W JOAN DE ARC,PHOENIX,MARICOPA,85029,NO,PUBLIC,71,69,2,71,6,6,1
CHAPARRAL MIDDLE SCHOOL,3700 E ALVORD RD,TUCSON,PIMA,   NA,YES,PUBLIC,182,182,0,182,0,0,0
CHARLOTTE PATTERSON ELEMENTARY,7520 S ADORA BLVD,GILBERT,MARICOPA,85298,NO,PUBLIC,149,142,7,149,15,0,6
CHEATHAM ELEMENTARY SCHOOL,4725 W SOUTH MOUNTAIN AVE,LAVEEN,MARICOPA,85339,NO,PUBLIC,91,89,2,91,2,0,1
CHEYENNE ELEMENTARY SCHOOL,11806 N 87TH AVE,PEORIA,MARICOPA,85345,YES,PUBLIC,85,85,0,85,4,0,0
CHEYENNE TRADITIONAL ELEMENTARY SCHOOL,11130 E CHOLLA ST,SCOTTSDALE,MARICOPA,85260,YES,PUBLIC,107,103,4,107,4,1,3
CHILDREN FIRST ACADEMY - PHOENIX,1648 S 16TH ST,PHOENIX,MARICOPA,85034,NO,CHARTER,36,36,0,36,0,0,0
CHRIST LUTHERAN PRESCHOOL,3901 EAST INDIAN SCHOOL ROAD,PHOENIX,MARICOPA,85018,YES,PRIVATE,53,52,1,53,5,1,1
CHRIST LUTHERAN SCHOOL,3901 E INDIAN SCHOOL RD,PHOENIX,MARICOPA,85018,YES,PRIVATE,53,52,1,53,5,1,1
CHRIST THE KING CATHOLIC SCHOOL,1551 E DANA AVE,MESA,MARICOPA,85204,YES,PRIVATE,26,26,0,26,2,0,1
CHRIST'S GREENFIELD LUTHERAN SCHOOL,425 N GREENFIELD RD,GILBERT,MARICOPA,85234,NO,PRIVATE,27,23,4,27,4,0,4
CIMARRON SPRINGS ELEMENTARY,17032 W SUPRISE FARMS LOOP S,SURPRISE,MARICOPA,85388,YES,PUBLIC,86,85,1,86,4,0,1
CIRCLE CROSS K-8 STEM ACADEMY,35900 N. CHARBRAY DR,SAN TAN VALLEY,PINAL,85143,NO,PUBLIC,99,97,1,98,2,1,0
CLARENDON SCHOOL,1225 W CLARENDON AVE,PHOENIX,MARICOPA,85013,NO,PUBLIC,140,138,1,139,1,1,1
CLOVES C CAMPBELL SR ELEMENTARY SCHOOL,2624 E S MOUNTAIN AVE,PHOENIX,MARICOPA,85042,YES,PUBLIC,66,65,1,66,1,0,1
COATIMUNDI MIDDLE SCHOOL,450 AVENIDA COATIMUNDI,RIO RICO,SANTA CRUZ,85648,YES,PUBLIC,134,134,0,134,5,5,1
COCOPAH MIDDLE SCHOOL,6615 E CHOLLA ST,SCOTTSDALE,MARICOPA,85254,YES,PUBLIC,255,245,10,255,22,0,11
COLLIER ELEMENTARY SCHOOL,350 S 118TH AVE,AVONDALE,MARICOPA,85323,YES,PUBLIC,110,109,1,110,4,1,1
COLONEL SMITH MIDDLE SCHOOL,5651 E SMITH AVE,FORT HUACHUCA,COCHISE,85613,YES,PUBLIC,99,98,1,99,1,0,1
COMBS TRADITIONAL SCHOOL,37327 N GANTZEL RD,SAN TAN VALLEY,PINAL,85240,YES,PUBLIC,34,31,3,34,3,0,3
CONSTITUTION ELEMENTARY SCHOOL,18440 N 15TH AVE,PHOENIX,MARICOPA,85023,YES,PUBLIC,66,65,1,66,2,0,1
